Bonus #,Winning Numbers,Draw Date,Extra #
25,04 05 18 35 51 52,04/03/2021,
22,09 30 32 46 49 53,03/31/2021,
3,01 04 07 14 23 52,03/27/2021,
45,01 10 20 29 48 57,03/24/2021,
5,13 17 20 26 32 33,03/20/2021,
45,13 21 25 36 39 56,03/17/2021,
27,11 15 18 31 42 58,03/13/2021,
47,18 23 24 31 40 58,03/10/2021,
52,10 26 35 38 41 51,03/06/2021,
5,08 19 32 38 43 47,03/03/2021,
43,02 10 11 13 18 36,02/27/2021,
49,11 19 20 23 53 54,02/24/2021,
47,04 16 28 34 40 45,02/20/2021,
37,14 21 22 24 26 51,02/17/2021,
40,05 30 37 44 49 54,02/13/2021,
7,08 23 30 47 48 57,02/10/2021,
38,10 27 31 36 49 56,02/06/2021,
26,02 11 13 29 42 59,02/03/2021,
48,07 10 12 27 40 45,01/30/2021,
51,04 33 40 47 49 50,01/27/2021,
54,28 44 45 52 56 57,01/23/2021,
47,23 26 42 52 54 55,01/20/2021,
20,04 13 16 29 44 51,01/16/2021,
35,15 24 44 52 54 57,01/13/2021,
29,16 30 34 43 46 50,01/09/2021,
12,02 04 11 45 48 58,01/06/2021,
10,02 29 31 35 39 48,01/02/2021,
46,01 10 37 49 53 57,12/30/2020,
16,09 13 20 36 58 59,12/26/2020,
34,01 07 16 21 43 45,12/23/2020,
18,01 09 14 21 56 57,12/19/2020,
25,15 22 44 47 49 52,12/16/2020,
53,07 13 16 29 33 56,12/12/2020,
48,19 20 34 40 46 49,12/09/2020,
50,05 16 37 49 55 57,12/05/2020,
47,10 30 32 37 38 54,12/02/2020,
31,06 18 34 40 47 51,11/28/2020,
6,33 41 45 50 54 56,11/25/2020,
46,27 36 40 43 45 53,11/21/2020,
17,06 09 31 36 43 49,11/18/2020,
44,03 06 12 17 24 52,11/14/2020,
13,03 11 36 44 47 48,11/11/2020,
36,03 10 18 32 42 44,11/07/2020,
19,07 31 35 42 43 50,11/04/2020,
11,05 15 19 21 37 57,10/31/2020,
59,10 16 18 30 49 50,10/28/2020,
34,09 10 15 24 25 57,10/24/2020,
38,15 22 24 30 50 59,10/21/2020,
30,08 10 17 19 34 47,10/17/2020,
48,10 35 36 42 54 55,10/14/2020,
6,08 11 15 32 47 58,10/10/2020,
8,11 13 19 37 50 55,10/07/2020,
37,19 20 24 42 44 56,10/03/2020,
42,08 13 25 38 41 48,09/30/2020,
22,14 19 20 23 55 57,09/26/2020,
30,11 14 22 29 36 46,09/23/2020,
8,03 04 10 20 34 46,09/19/2020,
57,21 43 44 45 53 55,09/16/2020,
52,04 06 35 46 47 54,09/12/2020,
25,15 24 31 44 51 59,09/09/2020,
8,02 19 21 27 36 54,09/05/2020,
23,10 13 17 39 52 58,09/02/2020,
34,08 22 23 26 39 58,08/29/2020,
22,13 28 38 41 42 51,08/26/2020,
20,06 25 33 36 55 57,08/22/2020,
46,01 03 09 33 35 52,08/19/2020,
7,02 06 10 17 23 44,08/15/2020,
7,11 16 21 22 34 43,08/12/2020,
39,06 17 31 49 52 53,08/08/2020,
58,07 09 20 29 36 56,08/05/2020,
42,01 13 27 30 49 58,08/01/2020,
53,12 17 21 29 48 56,07/29/2020,
29,05 09 11 30 41 57,07/25/2020,
39,06 15 51 54 55 59,07/22/2020,
46,03 10 12 25 36 47,07/18/2020,
15,02 07 18 28 33 56,07/15/2020,
52,03 05 09 11 29 47,07/11/2020,
37,25 27 42 45 56 58,07/08/2020,
46,08 26 28 48 50 57,07/04/2020,
56,19 28 38 48 52 53,07/01/2020,
25,14 19 31 43 53 58,06/27/2020,
25,05 07 12 14 19 27,06/24/2020,
27,01 10 25 29 53 58,06/20/2020,
18,10 16 21 30 31 56,06/17/2020,
7,19 26 30 37 40 41,06/13/2020,
37,23 46 50 52 56 59,06/10/2020,
25,10 17 22 37 39 49,06/06/2020,
17,24 27 46 54 55 56,06/03/2020,
36,10 17 34 35 38 45,05/30/2020,
29,04 22 27 36 49 55,05/27/2020,
43,10 17 20 26 33 53,05/23/2020,
8,13 18 23 46 47 54,05/20/2020,
27,06 08 13 30 36 58,05/16/2020,
49,01 33 41 42 43 56,05/13/2020,
43,21 29 32 37 38 55,05/09/2020,
3,02 04 17 44 46 58,05/06/2020,
